Activity type	Date and time of invite (UTC)	Expiration time (UTC)
WEEKLY_CHALLENGE_PARTY	2026-05-26T01:15:40.089Z	2026-05-27T01:15:40.060Z
WEEKLY_CHALLENGE_PARTY	2026-05-26T01:15:40.091Z	2026-05-27T01:15:40.060Z
WEEKLY_CHALLENGE_PARTY	2026-05-26T01:15:40.092Z	2026-05-27T01:15:40.060Z
WEEKLY_CHALLENGE_PARTY	2026-05-26T01:36:34.205Z	2026-05-27T01:36:34.174Z
WEEKLY_CHALLENGE_PARTY	2026-05-26T02:11:51.989Z	2026-05-27T02:11:51.925Z
WEEKLY_CHALLENGE_PARTY	2026-06-02T03:24:22.070Z	2026-06-03T03:24:22.030Z
WEEKLY_CHALLENGE_PARTY	2026-06-02T03:24:22.072Z	2026-06-03T03:24:22.030Z
WEEKLY_CHALLENGE_PARTY	2026-06-10T03:00:09.175Z	2026-06-11T03:00:09.137Z
