Date and time	Type of activity	Vendor	Item purchased	Number of items	Change in pokecoins	Money spent on purchase	Currency
06/26/2021 15:26:58 UTC	In-game item bought		Potion	3	
06/28/2021 14:45:47 UTC	Pokecoin spent for in-game item		POKECOIN		0
06/28/2021 14:45:47 UTC	In-game item bought		Poke balls	2	
06/28/2021 14:45:47 UTC	In-game item bought		Great balls	1	
06/28/2021 14:45:47 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
06/28/2021 14:45:47 UTC	In-game item bought		Potion	1	
06/29/2021 12:41:12 UTC	Pokecoin spent for in-game item		POKECOIN		0
06/29/2021 12:41:12 UTC	In-game item bought		Poke balls	1	
06/29/2021 12:41:12 UTC	In-game item bought		Great balls	2	
06/29/2021 12:41:12 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
06/29/2021 12:41:12 UTC	In-game item bought		Potion	1	
06/30/2021 03:07:46 UTC	Pokecoin spent for in-game item		POKECOIN		-200
06/30/2021 03:07:46 UTC	In-game item bought		Bag upgrade	1	
06/30/2021 13:45:35 UTC	Pokecoin spent for in-game item		POKECOIN		0
06/30/2021 13:45:35 UTC	In-game item bought		Razz berry	1	
06/30/2021 13:45:35 UTC	In-game item bought		Poke balls	2	
06/30/2021 13:45:35 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
06/30/2021 13:45:35 UTC	In-game item bought		Potion	1	
07/01/2021 13:56:17 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/01/2021 13:56:17 UTC	In-game item bought		Poke balls	2	
07/01/2021 13:56:17 UTC	In-game item bought		Great balls	1	
07/01/2021 13:56:17 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/01/2021 13:56:17 UTC	In-game item bought		Potion	1	
07/01/2021 14:01:32 UTC	Pokecoin bought	GOOGLE	POKECOIN		2500	19.99	USD
07/01/2021 14:09:57 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/01/2021 14:09:57 UTC	In-game item bought		Bag upgrade	1	
07/01/2021 14:10:02 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/01/2021 14:10:02 UTC	In-game item bought		Bag upgrade	1	
07/01/2021 14:10:06 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/01/2021 14:10:06 UTC	In-game item bought		Bag upgrade	1	
07/02/2021 12:14:06 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/02/2021 12:14:06 UTC	In-game item bought		Razz berry	1	
07/02/2021 12:14:06 UTC	In-game item bought		Poke balls	1	
07/02/2021 12:14:06 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/02/2021 12:14:06 UTC	In-game item bought		Potion	2	
07/02/2021 16:34:16 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/02/2021 16:34:16 UTC	In-game item bought		Bag upgrade	1	
07/02/2021 16:34:20 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/02/2021 16:34:20 UTC	In-game item bought		Bag upgrade	1	
07/02/2021 20:11:39 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/02/2021 20:11:39 UTC	In-game item bought		Ultra balls	30	
07/02/2021 20:11:39 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL2.MEDIUM.	1	
07/03/2021 07:08:26 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/03/2021 07:08:26 UTC	In-game item bought		Poke balls	1	
07/03/2021 07:08:26 UTC	In-game item bought		Great balls	1	
07/03/2021 07:08:26 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/03/2021 07:08:26 UTC	In-game item bought		Potion	2	
07/04/2021 03:00:33 UTC	Pokecoin spent for in-game item		POKECOIN		-150
07/04/2021 03:00:33 UTC	In-game item bought		Egg incubator	1	
07/04/2021 08:55:45 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/04/2021 08:55:45 UTC	In-game item bought		Poke balls	3	
07/04/2021 08:55:45 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/04/2021 08:55:45 UTC	In-game item bought		Potion	1	
07/05/2021 20:03:02 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/05/2021 20:03:02 UTC	In-game item bought		Poke balls	3	
07/05/2021 20:03:02 UTC	In-game item bought		Great balls	1	
07/05/2021 20:03:02 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/06/2021 12:37:23 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/06/2021 12:37:23 UTC	In-game item bought		Poke balls	3	
07/06/2021 12:37:23 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/06/2021 12:37:23 UTC	In-game item bought		Potion	1	
07/06/2021 16:10:06 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/06/2021 16:10:06 UTC	In-game item bought		Pokemon storage upgrade	1	
07/07/2021 07:25:15 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/07/2021 07:25:15 UTC	In-game item bought		Poke balls	1	
07/07/2021 07:25:15 UTC	In-game item bought		Great balls	1	
07/07/2021 07:25:15 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/07/2021 07:25:15 UTC	In-game item bought		Potion	2	
07/08/2021 13:50:55 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/08/2021 13:50:55 UTC	In-game item bought		Poke balls	2	
07/08/2021 13:50:55 UTC	In-game item bought		Great balls	2	
07/08/2021 13:50:55 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/09/2021 07:12:59 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/09/2021 07:12:59 UTC	In-game item bought		Poke balls	3	
07/09/2021 07:12:59 UTC	In-game item bought		Great balls	1	
07/09/2021 07:12:59 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/10/2021 06:17:05 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/10/2021 06:17:05 UTC	In-game item bought		Pokemon storage upgrade	1	
07/10/2021 09:10:03 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/10/2021 09:10:03 UTC	In-game item bought		Poke balls	2	
07/10/2021 09:10:03 UTC	In-game item bought		Great balls	1	
07/10/2021 09:10:03 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/10/2021 09:10:03 UTC	In-game item bought		Potion	1	
07/11/2021 07:10:25 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/11/2021 07:10:25 UTC	In-game item bought		Poke balls	2	
07/11/2021 07:10:25 UTC	In-game item bought		Great balls	1	
07/11/2021 07:10:25 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/11/2021 07:10:25 UTC	In-game item bought		Potion	1	
07/12/2021 02:42:25 UTC	Pokecoin spent for in-game item		POKECOIN		-1480
07/12/2021 02:42:25 UTC	In-game item bought		Ultra balls	50	
07/12/2021 02:42:25 UTC	In-game item bought		Raid pass (paid)	20	
07/12/2021 02:42:25 UTC	In-game item bought		Incense	5	
07/12/2021 02:42:25 UTC	In-game item bought		Star pieces	4	
07/12/2021 11:47:59 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/12/2021 11:47:59 UTC	In-game item bought		Poke balls	4	
07/12/2021 11:47:59 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/13/2021 12:11:17 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/13/2021 12:11:17 UTC	In-game item bought		Razz berry	1	
07/13/2021 12:11:17 UTC	In-game item bought		Poke balls	2	
07/13/2021 12:11:17 UTC	In-game item bought		Great balls	1	
07/13/2021 12:11:17 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/14/2021 12:47:40 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/14/2021 12:47:40 UTC	In-game item bought		Poke balls	2	
07/14/2021 12:47:40 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/14/2021 12:47:40 UTC	In-game item bought		Potion	1	
07/14/2021 12:47:40 UTC	In-game item bought		Revive	1	
07/14/2021 14:19:23 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/14/2021 14:19:23 UTC	In-game item bought		Pokemon storage upgrade	1	
07/15/2021 02:31:31 UTC	Pokecoin bought	GOOGLE	POKECOIN		5200	0.0	UNKNOWN
07/15/2021 02:32:42 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:32:42 UTC	In-game item bought		Pokemon storage upgrade	1	
07/15/2021 02:32:46 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:32:46 UTC	In-game item bought		Bag upgrade	1	
07/15/2021 02:32:49 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:32:49 UTC	In-game item bought		Pokemon storage upgrade	1	
07/15/2021 02:32:53 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:32:53 UTC	In-game item bought		Bag upgrade	1	
07/15/2021 02:32:57 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:32:57 UTC	In-game item bought		Pokemon storage upgrade	1	
07/15/2021 02:33:00 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:33:00 UTC	In-game item bought		Bag upgrade	1	
07/15/2021 02:33:04 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:33:04 UTC	In-game item bought		Pokemon storage upgrade	1	
07/15/2021 02:33:07 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/15/2021 02:33:07 UTC	In-game item bought		Bag upgrade	1	
07/15/2021 16:54:22 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/15/2021 16:54:22 UTC	In-game item bought		Poke balls	3	
07/15/2021 16:54:22 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/15/2021 16:54:22 UTC	In-game item bought		Potion	1	
07/16/2021 12:26:20 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/16/2021 12:26:20 UTC	In-game item bought		Poke balls	2	
07/16/2021 12:26:20 UTC	In-game item bought		Great balls	1	
07/16/2021 12:26:20 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/16/2021 12:26:20 UTC	In-game item bought		Potion	1	
07/16/2021 15:34:45 UTC	Pokecoin spent for in-game item		POKECOIN		-250
07/16/2021 15:34:45 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/16/2021 16:41:28 UTC	Pokecoin spent for in-game item		POKECOIN		-250
07/16/2021 16:41:28 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/17/2021 17:45:56 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/17/2021 17:45:56 UTC	In-game item bought		Poke balls	3	
07/17/2021 17:45:56 UTC	In-game item bought		Great balls	1	
07/17/2021 17:45:56 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/18/2021 04:09:06 UTC	Pokecoin spent for in-game item		POKECOIN		-250
07/18/2021 04:09:06 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/18/2021 04:56:07 UTC	Pokecoin spent for in-game item		POKECOIN		-250
07/18/2021 04:56:07 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/18/2021 05:24:35 UTC	Pokecoin spent for in-game item		POKECOIN		-250
07/18/2021 05:24:35 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/18/2021 05:54:14 UTC	Pokecoin spent for in-game item		POKECOIN		-250
07/18/2021 05:54:14 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/18/2021 15:34:42 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/18/2021 15:34:42 UTC	In-game item bought		Poke balls	1	
07/18/2021 15:34:42 UTC	In-game item bought		Great balls	2	
07/18/2021 15:34:42 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/18/2021 15:34:42 UTC	In-game item bought		Potion	1	
07/18/2021 17:59:37 UTC	Pokecoin spent for in-game item		POKECOIN		-200
07/18/2021 17:59:37 UTC	In-game item bought		Bag upgrade	1	
07/18/2021 19:20:06 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/18/2021 19:20:06 UTC	In-game item bought		LPSKU_REMOTEPASS.BUNDLE.GENERAL3.SMALL.	1	
07/18/2021 19:20:06 UTC	In-game item bought		ITEM_REMOTE_RAID_TICKET	3	
07/18/2021 21:34:55 UTC	Pokecoin spent for in-game item		POKECOIN		-1480
07/18/2021 21:34:55 UTC	In-game item bought		Ultra balls	50	
07/18/2021 21:34:55 UTC	In-game item bought		Raid pass (paid)	20	
07/18/2021 21:34:55 UTC	In-game item bought		Incense	5	
07/18/2021 21:34:55 UTC	In-game item bought		Star pieces	4	
07/19/2021 18:18:13 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/19/2021 18:18:13 UTC	In-game item bought		Poke balls	2	
07/19/2021 18:18:13 UTC	In-game item bought		LPSKU_BUNDLE.GENERAL1.FREE.	1	
07/19/2021 18:18:13 UTC	In-game item bought		Potion	2	
07/20/2021 17:33:51 UTC	Pokecoin spent for in-game item		POKECOIN		0
07/20/2021 17:33:51 UTC	In-game item bought		Poke balls	2	
